CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-11-10T13:10:00,2024-11-10T14:39:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,DEPARTED,המריאה
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-11-10T14:30:00,2024-11-10T14:44:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,386,EL AL ISRAEL AIRLINES,2024-11-10T14:30:00,2024-11-10T14:44:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
SK,3168,SAS,2024-11-10T14:30:00,2024-11-10T14:44:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8937,AIR PORTUGAL,2024-11-10T14:30:00,2024-11-10T14:44:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,5105,EL AL ISRAEL AIRLINES,2024-11-10T14:30:00,2024-11-10T14:47:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
A4,5026,AZIMUTH AIRLINES,2024-11-10T14:20:00,2024-11-10T14:49:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,70-72,C,DEPARTED,המריאה
BZ,442,BLUE BIRD AIRWAYS,2024-11-10T14:20:00,2024-11-10T14:54:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,29-31,A,DEPARTED,המריאה
LY,972,EL AL ISRAEL AIRLINES,2024-11-10T15:30:00,2024-11-10T14:58:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
IZ,604,ARKIA  ISRAELI  AIRLINES,2024-11-10T14:20:00,2024-11-10T15:01:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,355,EL AL ISRAEL AIRLINES,2024-11-10T14:40:00,2024-11-10T15:02:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3179,SAS,2024-11-10T14:40:00,2024-11-10T15:02:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
EK,2449,EMIRATES,2024-11-10T14:55:00,2024-11-10T15:04:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,62-65,C,DEPARTED,המריאה
FZ,1082,FLYDUBAI,2024-11-10T14:55:00,2024-11-10T15:04:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,62-65,C,DEPARTED,המריאה
BZ,271,BLUE BIRD AIRWAYS,2024-11-10T15:00:00,2024-11-10T15:14:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-11-10T15:00:00,2024-11-10T15:16:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7442,DELTA AIRLINES,2024-11-10T15:00:00,2024-11-10T15:16:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,026,EL AL ISRAEL AIRLINES,2024-11-10T15:00:00,2024-11-10T15:16:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
6H,048,ISRAIR AIRLINES,2024-11-10T15:35:00,2024-11-10T15:19:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
LY,5166,EL AL ISRAEL AIRLINES,2024-11-10T15:10:00,2024-11-10T15:22:00,A,TGD,PODGORICA,פודגוריצה,PODGORICA,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
6H,341,ISRAIR AIRLINES,2024-11-10T13:55:00,2024-11-10T15:23:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,12-15,A,DEPARTED,המריאה
LY,2366,EL AL ISRAEL AIRLINES,2024-11-10T14:55:00,2024-11-10T15:24:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
BZ,252,BLUE BIRD AIRWAYS,2024-11-10T14:05:00,2024-11-10T15:25:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,31-33,A,DEPARTED,המריאה
LY,290,EL AL ISRAEL AIRLINES,2024-11-10T14:50:00,2024-11-10T15:26:00,A,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3,,,LANDED,נחתה
IZ,294,ARKIA  ISRAELI  AIRLINES,2024-11-10T15:25:00,2024-11-10T15:30:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
6H,564,ISRAIR AIRLINES,2024-11-10T15:25:00,2024-11-10T15:33:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,886,ISRAIR AIRLINES,2024-11-10T14:45:00,2024-11-10T15:36:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
IZ,335,ARKIA  ISRAELI  AIRLINES,2024-11-10T14:20:00,2024-11-10T15:42:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-47,B,DEPARTED,המריאה
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-11-10T15:40:00,2024-11-10T15:49:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
6H,581,ISRAIR AIRLINES,2024-11-10T15:30:00,2024-11-10T15:49:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,16-18,A,DEPARTED,המריאה
E2,504,AIR HAIFA,2024-11-10T15:35:00,2024-11-10T15:52:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
BZ,461,BLUE BIRD AIRWAYS,2024-11-10T15:00:00,2024-11-10T16:00:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
U8,313,TUS AIRWAYS,2024-11-10T15:35:00,2024-11-10T16:02:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
LY,2372,EL AL ISRAEL AIRLINES,2024-11-10T15:35:00,2024-11-10T16:05:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3154,SAS,2024-11-10T15:35:00,2024-11-10T16:05:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
